DATE,GB_TRADE_BLNC,GB_GDP,GB_INFL,GB_INTR,GB_UNEMP,CAC,DAX,HKSE,NIKKEI,S&P500,STOXX,FTSE
2011-08-05,-0.0028390227944956603,2.0642369728887666e-05,0.004878058453433004,0.0,0.00038812342812092823,-0.012665908971538409,-0.02823691521996663,-0.043835189960601484,-0.03790724192280304,-0.0005750826506945028,-0.015515967850899148,-0.027473196743579675
2011-08-06,-0.0028471057981998005,2.0641943629995385e-05,0.004854378464797998,0.0,0.0003879728467675106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-07,-0.0028552349597155136,2.064151754894994e-05,0.0048309272696655525,0.0,0.0003878223822121815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-08,-0.002863410675550737,2.064109148575133e-05,0.004807701568103145,0.0,0.00038767203431842867,-0.04790925714082328,-0.0514759687145413,-0.021989615433543663,-0.021995285833874667,-0.0689583694345014,-0.03785902920399775,-0.03452088328870917
2011-08-09,-0.0028716333467664334,2.0640665439636274e-05,0.004784698123336262,0.0,0.00038752180295052036,0.01618728423612381,-0.001045567489588839,-0.058270330284524774,-0.016969563765224516,0.046317440754365835,0.0032001067034352904,0.018755918021184703
2011-08-10,-0.002879903379044535,2.0640239411492955e-05,0.004761913760243819,0.0,0.00038737168797404326,-0.056073891035086865,-0.05268295158884473,0.023162380689081608,0.010483175377057008,-0.04515679656516114,-0.06318182539407613,-0.031020725484390166
2011-08-11,-0.0028882211827536697,2.0639813400794016e-05,0.004739345363896558,0.0,0.0003872216892525579,0.028452568348786955,0.032294269215226046,-0.009575237790281688,-0.00630386755694845,0.04525059445445434,0.028235716784548948,0.030615990662472392
2011-08-12,-0.0028965871730171067,2.063938740756721e-05,0.004716989878138844,0.0,0.0003870718066520777,0.039417869550456786,0.033928355842609226,0.0012683436929831204,-0.0020306535509715395,0.005247875112098899,0.04063552466381226,0.029994063673043858
2011-08-13,-0.002905001769781368,2.0638961432298264e-05,0.004694844304207607,0.0,0.00038692204003713815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-14,-0.0029134653978877267,2.0638535474112873e-05,0.00467290569939241,0.0,0.0003867723892731559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
